set_num,url,vector
1,/sports/mvball/2017-18/boxscores/20180309_zubr.xml,"[0.5, 1.0, 2.0, 4.0, 6.5, 7.0, 9.5, 8.0, 8.0, 9.0]"
2,/sports/mvball/2017-18/boxscores/20180309_zubr.xml,"[-1.8, -4.4, -2.2, -0.5, 2.5, 3.5, 3.5, 4.5, 6.0, 6.5]"
3,/sports/mvball/2017-18/boxscores/20180309_zubr.xml,"[1.8, 3.2, 4.5, 4.0, 3.0, 4.0, 5.5, 6.0, 6.5, 7.0]"
1,/sports/mvball/2017-18/boxscores/20180310_tufa.xml,"[-1.8, -1.6, -2.0, -4.5, -5.5, -6.0, -5.5, -7.5, -7.5, -7.5]"
2,/sports/mvball/2017-18/boxscores/20180310_tufa.xml,"[1.0, 1.5, -1.5, -2.0, -4.0, -6.5, -7.0, -5.0, -6.0, -8.5]"
3,/sports/mvball/2017-18/boxscores/20180310_tufa.xml,"[0.2, -0.8, -4.5, -6.0, -6.5, -6.0, -4.0, -4.5, -6.5, -7.5]"
1,/sports/mvball/tournament/boxscores/20180310_tufa.xml,"[-1.8, -1.6, -2.0, -4.5, -5.5, -6.0, -5.5, -7.5, -7.5, -7.5]"
2,/sports/mvball/tournament/boxscores/20180310_tufa.xml,"[1.0, 1.5, -1.5, -2.0, -4.0, -6.5, -7.0, -5.0, -6.0, -8.5]"
3,/sports/mvball/tournament/boxscores/20180310_tufa.xml,"[0.2, -0.8, -4.5, -6.0, -6.5, -6.0, -4.0, -4.5, -6.5, -7.5]"
1,/sports/mvball/2017-18/boxscores/20180321_xha8.xml,"[2.2, 3.6, 3.4, 4.8, 7.8, 6.5, 7.0, 8.0, 6.5, 5.0]"
2,/sports/mvball/2017-18/boxscores/20180321_xha8.xml,"[-0.2, 1.2, 4.2, 6.0, 4.5, 3.5, 4.0, 4.0, 4.5, 5.5]"
3,/sports/mvball/2017-18/boxscores/20180321_xha8.xml,"[2.6, 1.6, 1.8, 0.5, 1.0, 1.5, 2.5, 3.5, 5.0, 6.5]"
1,/sports/mvball/2017-18/boxscores/20180323_wj45.xml,"[1.4, -0.4, -0.2, -2.0, -2.6, -5.0, -4.0, -4.5, -3.5, -4.0]"
2,/sports/mvball/2017-18/boxscores/20180323_wj45.xml,"[1.8, 2.8, 3.0, 2.5, 4.0, 4.5, 7.0, 7.5, 6.5, 7.0]"
3,/sports/mvball/2017-18/boxscores/20180323_wj45.xml,"[0.5, 1.5, 0.5, 2.5, 6.0, 6.5, 5.0, 7.0, 9.5, 10.666666666666666]"
4,/sports/mvball/2017-18/boxscores/20180323_wj45.xml,"[-1.0, -1.2, -2.6, -1.6, -2.2, -3.6, -0.6, 1.5, 0.5, 0.75]"
1,/sports/mvball/2017-18/boxscores/20180329_kwt3.xml,"[0.6, 2.4, 2.0, 2.0, 2.5, 4.0, 4.0, 3.5, 5.0, 7.0]"
2,/sports/mvball/2017-18/boxscores/20180329_kwt3.xml,"[-0.2, 0.4, -1.4, -2.0, -5.0, -5.6, -4.2, -4.0, -3.0, -3.0]"
3,/sports/mvball/2017-18/boxscores/20180329_kwt3.xml,"[2.0, 2.5, 2.0, 4.0, 4.0, 6.0, 7.0, 8.0, 9.0, 12.0]"
4,/sports/mvball/2017-18/boxscores/20180329_kwt3.xml,"[0.0, 2.5, 4.0, 4.5, 5.0, 8.0, 8.0, 8.5, 10.5, 9.5]"
1,/sports/mvball/2017-18/boxscores/20180330_1jja.xml,"[0.2, 2.5, 2.0, 4.5, 4.5, 4.5, 4.0, 4.5, 6.5, 8.0]"
2,/sports/mvball/2017-18/boxscores/20180330_1jja.xml,"[1.0, 2.0, 3.5, 4.0, 4.0, 5.5, 7.0, 7.5, 8.0, 9.0]"
3,/sports/mvball/2017-18/boxscores/20180330_1jja.xml,"[-1.4, -0.8, -1.8, -2.0, -2.2, -0.4, 0.0, 0.0, 0.5, 2.5]"
1,/sports/mvball/2017-18/boxscores/20180331_eo9c.xml,"[-0.8571428571428571, -1.0, 0.16666666666666666, -1.8333333333333333, -2.1666666666666665, -0.5, 0.5, 0.16666666666666666, -0.16666666666666666, -0.8333333333333334]"
2,/sports/mvball/2017-18/boxscores/20180331_eo9c.xml,"[0.2, 1.5, 3.0, 2.5, 5.0, 6.0, 4.5, 4.5, 7.0, 8.0]"
3,/sports/mvball/2017-18/boxscores/20180331_eo9c.xml,"[1.0, 0.0, 1.0, 0.8, 3.0, 3.6, 3.0, 4.0, 3.5, 2.0]"
